year,country,title,rating,genre
2012,USA,Abraham Lincoln: Vampire Hunter,3,"Action, Fantasy, Horror"
2012,USA,Act of Valor,0,"Action, Thriller, War"
2012,"France, Germany, Austria",Amour,3,"Drama, Romance"
2012,UK,Anna Karenina,2,Drama
2012,USA,Argo,3,"Biography, Drama, History"
2012,USA,Battleship,1,"Action, Adventure, Sci-Fi"
2012,USA,Beasts of the Southern Wild,3,"Drama, Fantasy"
2012,USA,Blue Like Jazz,3,"Comedy, Drama"
2012,USA,Brave,3,"Animation, Action, Adventure"
2012,USA,Bullet to the Head,0,"Action, Crime, Thriller"
2012,USA,Chernobyl Diaries,1,"Horror, Thriller"
2012,USA,Chronicle,1,"Drama, Sci-Fi, Thriller"
2012,"Germany, USA, Hong Kong, Singapore",Cloud Atlas,3,"Adventure, Drama, Sci-Fi"
2012,"USA, UK, France",Contraband,3,"Action, Crime, Drama"
2012,USA,Django Unchained,1,"Adventure, Drama, Western"
2012,USA,Flight,3,"Drama, Thriller"
2012,USA,Frankenweenie,0,"Animation, Comedy, Family"
2012,USA,Hannibal,3,"Crime, Drama, Thriller"
2012,USA,Hotel Transylvania,3,"Animation, Comedy, Family"
2012,USA,Jack Reacher,1,"Action, Crime, Thriller"
2012,"Denmark, Sweden",Jagten,2,Drama
2012,USA,John Carter,3,"Action, Adventure, Fantasy"
2012,USA,Killing Them Softly,0,"Crime, Thriller"
2012,"USA, UK",Les Miserables,3,"Drama, Musical, Romance"
2012,"USA, Taiwan, UK",Life of Pi,1,"Adventure, Drama, Fantasy"
2012,USA,Lincoln,3,"Biography, Drama, History"
2012,USA,Madagascar 3: Europe&#39;s Most Wanted,2,"Animation, Adventure, Comedy"
2012,"USA, United Arab Emirates",Men in Black III,1,"Action, Comedy, Sci-Fi"
2012,"USA, Canada",Mirror Mirror,3,"Adventure, Comedy, Drama"
2012,USA,Moonrise Kingdom,3,"Comedy, Drama, Romance"
2012,USA,Much Ado About Nothing,3,"Comedy, Drama, Romance"
2012,USA,Paranormal Activity 4,3,Horror
2012,USA,ParaNorman,3,"Animation, Adventure, Comedy"
2012,USA,Parental Guidance,3,Comedy
2012,USA,People Like Us,3,Drama
2012,USA,Pitch Perfect,3,"Comedy, Music, Romance"
2012,USA,Premium Rush,3,"Action, Crime, Thriller"
2012,USA,Red Dawn,1,"Action, Thriller, War"
2012,USA,Red Tails,2,"Action, Adventure, Drama"
2012,USA,Rise of the Guardians,1,"Animation, Adventure, Family"
2012,USA,Rock of Ages,3,"Comedy, Drama, Musical"
2012,USA,Safe,1,"Action, Crime, Thriller"
2012,USA,Safety Not Guaranteed,3,"Comedy, Drama, Romance"
2012,UK,Seven Psychopaths,1,"Comedy, Crime, Thriller"
2012,"France, USA, Canada",Silent Hill: Revelation 3D,3,"Horror, Mystery, Thriller"
2012,USA,Silver Linings Playbook,3,"Comedy, Drama, Romance"
2012,"USA, UK",Sinister,2,"Horror, Mystery, Thriller"
2012,"UK, USA",Skyfall,3,"Action, Adventure, Thriller"
2012,USA,Snow White and the Huntsman,3,"Adventure, Drama, Fantasy"
2012,USA,Sparkle,3,"Drama, Music"
2012,USA,Spring Breakers,3,"Crime, Drama"
2012,USA,Step Up Revolution,3,"Drama, Music, Romance"
2012,USA,Supporting Characters,2,Comedy
2012,USA,Ted,2,"Comedy, Fantasy"
2012,USA,That&#39;s My Boy,1,Comedy
2012,USA,"Amazing Spider-Man, The",2,"Action, Adventure, Fantasy"
2012,USA,"Avengers, The",1,"Action, Fantasy"
2012,"USA, UK","Dark Knight Rises, The",1,"Action, Crime, Thriller"
2012,USA,"Devil Inside, The",3,Horror
2012,USA,"Dictator, The",1,Comedy
2012,USA,"Expendables 2, The",3,"Action, Adventure, Thriller"
2012,USA,"Grey, The",0,"Action, Adventure, Drama"
2012,"USA, New Zealand","Hobbit: An Unexpected Journey, The",0,"Adventure, Fantasy"
2012,USA,"Hunger Games, The",3,"Adventure, Sci-Fi, Thriller"
2012,Spain,"Impossible, The",2,"Drama, History, Thriller"
2012,"USA, Hong Kong","Man with the Iron Fists, The",1,Action
2012,USA,"Master, The",1,Drama
2012,"UK, USA","Pirates! Band of Misfits, The",1,"Animation, Adventure, Comedy"
2012,USA,"Place Beyond the Pines, The",1,"Crime, Drama"
2012,USA,"Twilight Saga: Breaking Dawn - Part 2, The",3,"Adventure, Drama, Fantasy"
2012,"USA, France, Australia, UK, Germany","Vow, The",3,"Drama, Romance"
2012,USA,"Watch, The",2,"Comedy, Sci-Fi"
2012,"UK, Canada, Sweden","Woman in Black, The",1,"Drama, Horror, Thriller"
2012,USA,"Words, The",1,"Drama, Mystery, Romance"
2012,USA,Think Like a Man,3,"Comedy, Romance"
2012,"USA, Italy, Spain",To Rome With Love,2,"Comedy, Romance"
